Uid,Fold
39776,4
7176,3
18983,4
45071,4
6037,4
45070,1
13312,5
12858,5
15795,2
16597,4
20242,3
35973,1
30911,4
42332,3
43164,2
45395,1
45692,1
36011,2
26773,2
52071,1
1620,5
59069,5
386,3
51740,5
1472,2
57533,5
5086,4
5354,2
44750,2
5044,1
5548,1
5680,5
5349,3
5825,2
5907,2
5897,2
6481,1
5789,1
6596,4
46715,3
6876,1
5906,2
7136,4
7343,3
7429,3
7307,5
7549,4
7648,2
6829,4
7880,4
7916,4
7453,2
7194,5
7056,4
7621,2
7949,1
7950,1
7951,2
5445,4
38833,1
7860,1
5658,2
4866,4
7956,1
7957,4
6751,4
7958,1
6099,2
7959,1
5922,3
7965,1
7966,2
5282,2
7967,3
7722,3
7971,4
7973,2
7974,1
7975,3
7978,5
7132,5
7981,1
7982,5
6815,3
7983,3
6896,5
7986,4
7826,3
7990,4
7992,5
7994,3
7422,4
7995,1
7996,5
7999,1
8008,1
8009,4
8012,3
8013,3
8014,1
8015,5
7655,2
5875,4
7877,2
7278,4
8024,1
8025,2
8023,1
8026,1
8027,4
8030,2
7770,1
8032,5
8034,2
8035,1
7390,5
8036,4
8038,5
1047,4
8044,2
8046,1
8047,5
7496,3
8049,3
8051,1
8052,3
34044,5
8055,1
8056,1
7742,4
5882,4
6919,1
8060,4
8062,3
8065,4
8069,2
6661,2
6905,2
5054,5
7859,3
7824,2
8072,4
8073,5
8074,1
7591,2
8076,1
8079,5
2350,5
56496,1
8085,3
8087,5
6805,4
8088,4
5103,5
8090,5
8091,5
8092,3
8093,3
8095,3
8096,1
8097,5
8099,5
8101,5
5293,1
8104,4
7484,1
6482,2
8106,1
5124,5
7842,5
8111,5
6859,5
5979,1
8116,3
8118,5
5528,3
8120,1
8121,1
8122,1
8123,4
19853,4
8125,1
8126,2
88,5
7667,4
6054,2
53796,1
8131,3
8132,2
6826,4
7369,4
8135,1
52196,5
8136,2
8138,4
8139,2
5506,1
8140,5
30254,3
8141,5
8142,3
8143,5
7904,3
8144,2
8145,2
7810,1
8146,2
8147,2
8148,5
8149,5
8150,5
8151,5
8152,3
8153,2
8154,4
8155,1
8158,2
8159,2
8161,5
53997,2
7833,1
8162,2
8165,1
8166,4
8168,4
7780,5
8169,3
6641,1
8170,4
5370,2
8171,3
8173,2
7984,2
8174,5
8177,3
8178,2
8179,2
8180,5
8181,5
8183,3
5067,4
8184,1
8185,2
8187,3
8188,1
8189,3
6443,2
8191,3
8192,4
6740,5
8194,5
8196,5
8197,1
8198,2
7756,3
8206,3
8077,4
8209,5
6337,3
8217,5
5458,2
8221,3
7254,1
8223,3
8224,1
8225,4
8226,5
8230,2
8231,1
8232,4
4930,5
8233,5
7987,2
6571,3
8238,2
7398,5
5865,4
7589,3
7306,3
6442,5
6738,5
8245,2
52140,4
8246,2
8248,1
8249,3
8250,1
8251,5
8252,1
8254,1
7417,1
8256,1
8257,5
8258,1
8259,4
6395,5
8262,4
8264,1
8267,1
8270,1
4888,3
25954,2
8272,5
8273,2
8275,2
5249,5
7131,3
59480,3
6406,3
5492,2
8277,4
8278,2
8279,1
6152,1
8281,1
8282,3
5097,5
8285,4
8287,5
8288,2
8289,2
6196,2
8291,2
8292,3
8293,2
8296,1
5611,1
8299,4
8300,1
23595,1
48699,4
8302,3
8305,5
7101,2
8309,3
8312,2
8314,4
7749,5
7752,3
7435,1
8315,4
8316,3
8317,1
8318,2
8322,3
8323,2
8324,3
7481,5
8325,4
8326,1
8329,3
7831,3
7583,1
8331,2
8332,1
58051,2
8334,1
8336,4
7221,1
8337,5
8340,3
8341,5
5234,3
7515,5
5544,4
7924,5
8344,4
8348,1
5830,3
7691,5
8352,5
8353,3
7694,5
8356,4
6709,4
8358,1
7009,5
8361,5
8364,5
7705,2
8367,5
8368,3
8372,5
8374,5
5853,2
8379,2
7579,2
8380,5
6698,5
8383,4
8384,2
8385,2
7546,2
8386,2
8387,1
8388,5
8389,2
8391,5
8392,3
4629,4
8396,3
7898,3
8397,4
8401,3
7626,5
57304,1
8404,2
8406,3
6334,2
54342,2
42726,3
8410,4
8411,5
8412,1
8415,1
8416,4
8417,2
8418,2
7945,4
8421,1
8425,5
6877,3
6463,5
8428,4
8429,3
8434,2
7894,4
5008,5
8436,5
8437,3
6076,3
8439,3
7785,3
8442,1
8447,5
8450,4
8451,2
8452,4
8453,4
7517,1
8456,5
8457,3
8459,1
8461,5
6946,3
8466,2
8468,4
8470,4
8103,1
8473,1
8474,2
8443,2
8484,2
8485,2
8487,4
8489,4
6439,3
8490,3
8491,5
8493,5
8495,2
8496,1
8498,2
8499,1
8501,2
8502,4
8506,3
8507,4
8510,1
6943,2
8395,3
8512,2
6836,4
8514,1
7828,1
8516,5
5872,4
7821,5
8520,2
8521,5
8522,3
8523,5
8524,1
3757,1
8527,2
8528,3
6739,3
8525,5
8531,2
7881,4
8533,1
16802,5
8539,5
8540,4
7627,5
8542,3
6189,4
5556,5
8546,2
7972,5
8547,1
8551,5
7541,3
8554,2
8556,1
8558,4
